STATION,Abetifi,Aburi,Accra,Ada,Akatsi,A_Oda,Akuse,Asaman,Atebubu,Axim,Bechem,Bogoso,C_Coast,Dormaa,Dunkwa,Ejura,Goaso,H_Assini,Ho,K_Krachi,Kade,Kintampo,Koforidua,Kpando,Kumasi,Prang,Saltpond,Sef_Bekwai,Sunyani,Takoradi,Tarkwa,Tema,Wenchi,Mim
LAT,6.67,5.8667,5.6,5.78,6.12,6.12,6.1,5.8667,7.75,4.87,7.08,5.4,5.13,7.28,5.9667,7.3833,6.8,5.05,6.6,7.82,6.1,8.05,6.08,7,6.72,7.98,5.2,6.2,7.33,4.88,5.3,5.62,7.75,6.9
LON,-0.75,-0.1667,-0.17,0.63,0.8,-0.8,0.12,-0.6667,-0.98,-2.23,-2.03,-2.03,-1.25,-2.88,-1.7833,-1.3667,-2.5167,-2.88,0.47,-0.03,-0.8333,-1.72,-0.25,0.2833,-1.6,-0.88,-1.07,-2.33,-2.33,-1.77,-1.98,0,-2.1,-2.55
1981,51,110,125,72,-999,50,125,39,64,32,51,71,110,68,44,66,36,50,-999,122,66,85,64,-999,69,69,110,71,63,110,36,87,63,-999
1982,76,77,112,106,122,54,57,50,100,50,70,36,112,-999,70,71,63,71,129,119,71,82,54,120,76,71,57,77,71,59,47,108,71,73
1983,93,149,149,136,149,100,149,101,87,90,81,131,147,95,99,93,-999,108,-999,136,93,89,91,81,78,136,146,101,86,59,-999,-999,93,136
1984,70,-999,94,82,72,72,61,60,68,47,56,53,78,114,59,113,-999,64,60,117,113,81,63,65,75,98,95,58,113,80,-999,-999,71,-999
1985,58,122,76,75,122,53,129,45,89,57,73,64,69,105,54,73,-999,65,65,136,73,95,118,58,57,148,76,57,73,58,-999,122,73,-999
1986,38,86,54,151,68,67,61,40,78,73,76,44,94,50,58,66,-999,82,48,78,66,78,44,94,38,78,114,59,49,55,-999,144,100,-999
1987,36,67,114,-999,81,58,69,-999,148,67,83,81,72,153,57,75,-999,84,67,138,75,76,43,138,85,147,72,83,44,117,-999,119,69,-999
1988,63,59,123,86,120,63,108,154,123,46,97,90,123,59,54,73,-999,49,59,139,73,86,32,104,63,86,123,63,63,35,53,123,94,-999
1989,66,72,109,65,112,59,65,66,68,65,61,64,58,65,61,70,59,96,70,155,70,77,58,90,70,145,64,65,67,93,66,108,70,73
1990,92,55,112,113,113,92,110,78,98,92,92,90,113,97,110,105,-999,110,90,100,105,105,90,106,80,131,113,69,90,113,78,113,98,92
1991,42,68,93,77,93,71,92,54,81,48,75,42,92,58,42,61,42,72,92,91,61,75,33,92,82,74,94,57,91,78,105,92,57,80
1992,86,72,128,101,126,65,78,63,94,103,94,69,103,84,68,128,84,97,98,128,128,85,65,93,86,160,107,93,94,74,43,128,94,79
1993,89,64,110,107,111,65,49,65,72,65,67,87,136,-999,50,45,87,46,78,68,45,78,49,87,68,117,63,46,56,67,49,110,148,72
1994,69,50,142,49,62,54,55,-999,63,59,85,55,52,61,64,-999,68,94,59,147,-999,94,55,70,103,94,52,64,84,135,59,142,69,76
1995,68,103,119,70,120,50,64,53,94,51,59,68,68,68,64,73,92,68,58,93,73,93,63,59,67,68,68,96,91,68,64,68,70,107
1996,63,73,73,81,71,45,63,76,43,59,34,93,81,59,34,99,59,97,63,99,99,81,32,150,93,99,81,57,44,101,39,73,46,59
1997,77,61,61,106,119,93,85,61,92,50,90,80,61,120,73,85,80,86,102,120,85,81,56,77,81,86,61,79,81,61,58,102,81,86
1998,100,123,125,93,120,80,127,103,104,46,92,126,125,91,103,104,90,120,91,112,104,94,87,131,109,93,119,92,97,120,63,127,98,91
1999,68,58,50,92,73,107,58,58,91,46,83,46,92,59,48,62,48,68,46,70,62,84,92,46,83,89,130,61,59,92,49,108,61,58
2000,113,130,86,86,86,80,92,56,78,95,86,76,80,85,90,79,92,80,81,79,79,101,-999,119,108,86,80,116,79,80,122,122,101,-999
2001,61,61,109,94,59,61,136,61,96,57,86,57,109,85,57,86,71,57,71,115,86,103,69,103,69,103,57,57,76,59,65,108,73,66
2002,70,75,98,98,98,63,98,61,106,98,54,52,54,57,68,70,48,41,68,98,70,98,97,71,68,88,46,63,57,54,79,98,86,68
2003,102,63,94,79,139,54,105,41,110,65,71,79,72,89,54,89,88,69,54,105,89,97,94,90,45,97,67,54,83,79,37,69,82,89
2004,82,80,132,133,79,46,79,79,82,56,86,46,133,113,75,89,81,89,76,97,89,107,79,82,76,92,76,126,82,134,46,87,92,81
2005,56,105,139,139,105,40,105,44,110,39,76,70,63,94,61,72,65,37,56,104,72,83,105,71,114,139,69,104,71,121,72,139,63,66
2006,63,57,128,116,69,46,67,49,45,80,67,87,128,59,37,119,79,80,47,141,119,114,39,47,45,86,95,82,65,129,41,128,82,72
2007,75,75,131,75,132,92,68,69,106,86,73,79,68,97,83,75,89,52,40,75,75,82,69,98,90,80,74,75,75,76,78,132,89,75
