STATION,Abetifi,Aburi,Accra,Akatsi,A_Oda,Akuse,Asaman,Atebubu,Axim,Bechem,Bogoso,Bui,Cape_Coast,Dormaa ,Dunkwa,Ejura,Goaso,Kade,Kintampo,Koforidua,Kpando,Krachi,Kumasi,Mim,Prang,Saltpond,S_Bekwai,Sunyani,Takoradi,Tarkwa,Tema,Wenchi,H_Assini,Ho
LAT,6.67,5.87,5.6,6.12,6.12,6.1,5.8667,7.75,4.87,7.08,5.4,8.28,5.13,7.28,5.97,7.3833,6.8,6.1,8.05,6.08,7,7.82,6.72,6.9,7.98,5.2,6.2,7.33,4.88,5.3,5.62,7.75,5.05,6.6
LON,-0.75,-0.17,-0.17,0.8,-0.8,0.12,-0.6667,-0.98,-2.23,-2.03,-2.03,-2.27,-1.25,-2.88,-1.78,-1.3667,-2.5167,-0.8333,-1.72,-0.25,0.2833,-0.03,-1.6,-2.55,-0.88,-1.07,-2.33,-2.33,-1.77,-1.98,0,-2.1,-2.88,0.47
1981,6,9,6,-999,7,10,11,10,15,6,6,9,6,9,-999,7,11,10,9,9,7,8,15,-999,8,7,10,6,5,7,6,8,9,-999
1982,10,3,6,11,7,9,7,8,9,5,9,-999,3,-999,12,9,7,10,15,10,14,8,10,11,8,10,11,9,19,10,6,11,9,10
1983,6,-999,23,-999,5,12,9,-999,8,9,5,-999,13,-999,5,8,9,10,9,9,-999,7,6,5,7,17,8,7,11,-999,-999,5,6,-999
1984,9,5,9,10,8,9,10,12,8,10,9,9,11,9,9,9,10,9,5,9,-999,7,10,-999,7,8,9,10,10,-999,-999,9,9,14
1985,8,8,13,-999,7,6,8,8,12,7,6,12,12,8,5,5,8,8,3,5,-999,6,11,-999,6,7,11,6,9,-999,5,10,-999,10
1986,7,5,18,11,8,10,5,8,7,20,9,7,9,7,7,7,5,9,11,9,-999,-999,9,-999,-999,7,8,7,10,-999,9,6,11,6
1987,10,6,16,11,8,10,9,6,17,11,7,16,12,6,9,-999,9,7,28,9,-999,5,9,-999,5,8,9,11,9,-999,19,7,5,10
1988,6,19,8,-999,6,5,8,6,11,8,7,10,4,9,12,5,8,8,12,8,-999,6,7,-999,6,8,8,7,15,10,-999,7,8,8
1989,8,6,16,-999,10,13,9,8,10,7,14,9,13,9,5,6,9,7,12,5,7,4,13,10,4,10,7,9,10,11,12,11,7,9
1990,6,-999,11,-999,9,20,10,8,10,5,10,6,11,6,7,10,10,10,15,8,-999,8,8,9,8,6,8,5,10,6,17,12,4,10
1991,6,5,7,8,9,9,7,8,6,7,7,8,12,8,5,7,7,10,6,9,9,10,6,6,7,5,8,10,7,6,8,7,8,7
1992,6,6,10,7,9,9,8,6,5,5,8,8,9,8,8,7,8,8,12,6,7,7,7,9,7,9,5,9,11,7,9,9,6,9
