STATION,Abetifi,Aburi,Accra,Ada,Akatsi,A_Oda,Akuse,Asaman,Atebubu,Axim,Babile,Bechem,Bimbila,Bole,Bolga,Bui,C_Coast,Damongo,Dormaa ,Dunkwa,Ejura,Garu,Goaso,H_Assini,Ho,Kade,Krachi,Kintampo,Koforidua,Kpandu,Kumasi,M_Bawku,Mim,Navrongo,Prang,S_Bekwai,Salaga,Saltpond,Sunyani,Takoradi,Tamale,Tarkwa,Tema,Vea,Wa,Walewale,Wenchi,Yendi,Zuarungu
LAT,6.67,5.8667,5.6,5.78,6.12,6.12,6.1,5.8667,7.75,4.87,10.51,7.08,8.85,9.03,10.78,-2.266667,5.13,9.07,7.28,5.9667,7.3833,10.85,6.8,5.05,6.6,6.1,7.82,8.05,6.08,7,6.72,11.0167,6.9,10.9,7.98,6.2,8.55,5.2,7.33,4.88,9.55,5.3,5.62,10.8667,10.05,10.35,7.75,9.45,10.7833
LON,-0.75,-0.1667,-0.17,0.63,0.8,-0.8,0.12,-0.6667,-0.98,-2.23,-2.81,-2.03,0.0667,-2.48,-0.85,8.283333,-1.25,-1.82,-2.88,-1.7833,-1.3667,-0.1833,-2.5167,-2.88,0.47,-0.8333,-0.03,-1.72,-0.25,0.2833,-1.6,-0.2667,-2.55,-1.1,-0.88,-2.33,-0.5167,-1.07,-2.33,-1.77,-0.85,-1.98,0,-0.85,-2.5,-0.8,-2.1,-0.12,-0.18
1981,306.8,470.297139,308.1999999,417.9000002,-999,588.4999998,520.3999999,619.0966621,295.3,461.4999996,300.9000001,383.9,365.0000001,393.8,304.4,435.7,687.6000001,340.8000001,422.6999998,829.5999997,400.3973774,220.3997616,525.5999997,1888.699999,441.5,634.7,407.2995232,344.7000002,646.3999994,376.0999999,460.2999997,320.0000001,395.5999998,303.5000001,224.6,518.8000002,290.9988079,670.8999999,454.5204757,764.1154284,372.2,634.0999997,479.9999999,273.0990463,275.2695969,261.0999999,290.3997616,406.3,230.4999999
1982,514.0999999,322.1,562.6000001,868.0999994,-999,412.7000002,435,418.0966621,247.2999999,1495.300002,314.3,308.6999998,-999,346.3,340.0999999,380.1,673,338.2999998,-999,563.6999996,391.4988079,257.3000001,544.9999998,1149.8,324.5,561,390.6,392.4988079,424.8762754,431.1,461.4999996,-999,499.9999999,279.1000001,-999,537.7999995,338.1992847,845.6999996,419.8551354,759.4980381,522.3999999,825.5999992,491.3,326.0000002,294.1018984,213.8000001,361.1992847,297.1,447.5
1983,634.6000006,261.6992847,239.2000001,415.3999999,-999,557.6999998,353.5,399.8997616,239.2,757.7999997,196.4,591.0000002,-999,286.9000001,179.3,442.1,214.2,321.5999999,343.4,616.9999998,500.3997616,237.0996424,123.6,817.3000002,298.5,-999,474.4988079,566.0966621,457.2273773,378.4999999,356.1999997,168.499404,828.9000001,258.4,354.7995232,655.6999996,478.3973774,336.0000001,523.7388778,318.8814539,287.7,-999,281,188.6998808,259.2110932,272.7,518,366.1,172
1984,670.5,438.6992847,299.2,465.2999998,281.8000001,603.8,480.8000001,614,540.4000001,1294.100001,278.6,346.4000001,429.9988079,382.6999998,265.1999999,-999,467.8000001,421.9,461.9000001,682.1999998,450.6980927,284.1000001,-999,1121.9,344.2,830.0966621,658.8985695,572.7,391.7842361,561.8000002,457.9000001,133.8997616,-999,370.2000002,595.1000004,466.4999999,477.1992847,339.5999999,406.8321452,560.0037937,320.6,-999,197.7000001,273.7,331.2322289,420.5,542.7995232,400,228.1999999
1985,335.3000001,270.2995232,401.2999998,408.8,242.4,729.2999995,298.0999999,313.7000002,333.5,977.5999992,380.3000001,369.6,564.5,360.4999999,243.1,-999,612.8999999,366.0999999,378.7999998,374.9999999,330.1000001,183.8,-999,839.0999999,347.9000001,461.3973774,499.4988079,437.4000001,545.1457922,331.2000002,392.9,172.9,-999,231.6,298,405.8999999,356.2983311,862.0999992,394.841318,409.8993008,330.5000001,-999,279.6999998,187,363.4508688,265.8,423.8000001,311.8,226.1999999
1986,352.7000002,335.9000002,224.6000001,261.1,396,375.6999999,364.0999999,395.4000001,340.5,493.5000001,292.5,437.1000001,-999,360.5,250.3,348.4,461.7,335.9,440.0000001,498.3999997,629.9952316,265.7995232,-999,569,429.7999997,242.9000001,412.797139,300.9988079,401.2646712,480.6000003,431.2999998,195.1,-999,330.1000001,439.3997616,384.1999999,377.7,551.2,427.3782581,330.3459648,402.4,-999,176.4,225.1,161.5649445,85,376.6980927,315.1,188.1
1987,339.9999999,164.4,103.5,202.6,274.8000001,380.3,227.4,78.29982119,305.5000001,463.1999999,214.7,407.4000001,-999,308.4000002,154.1,242.8,243.4000001,336.0999999,369.9999999,513.2999997,480.5990463,-999,164.6,603.0999999,500.8999999,-999,356.6000001,421.5,326.0853815,280.3999999,493.5000001,279.4000001,-999,315.4000001,299.7995232,313,299.3997616,185.8,576.8343596,465.9725108,330.7999998,-999,155.3000001,173.9,164.4948373,221.3000001,295.1,235.8999999,163.9
1988,535.6999998,512.2,547.5,297.8,257.8,567.4999998,464.9999998,316.1980927,537.5,607.6999998,230.9,637.0999999,-999,539.5999997,268.1000001,317.5,545.3000002,521.2,332.4,529.3,542.0990463,254.5996424,398.8999999,841.8000004,545.8000002,-999,354.6,524.5990463,340.520435,326.5,308.4000002,254.5996424,-999,303.7,374.3000001,516.4000001,434.3973774,441.3,305.3670655,457.0957981,344.3,873.2999997,348.8000002,269,328.7739295,142.1,359.4112563,336.9,-999
