STATION,Abetifi,Aburi,Accra,Ada,Akatsi,A_Oda,Akuse,Asaman,Atebubu,Axim,Babile,Bechem,Bimbila,Bole,Bolga,Bogoso,C_Coast,Damongo,Dormaa,Dunkwa,Ejura,Garu,Goaso,H_Assini,Ho,Kade,Krachi,Kintampo,Koforidua,Kpandu,Kumasi,M_Bawku,Mim,Navrongo,Prang,Salaga,Saltpond,S_Bekwai,Sunyani,Takoradi,Tamale,Tarkwa,Tema,Vea,Wa,Walewale,Wenchi,Yendi,Zuarungu
LAT,6.67,5.8667,5.6,5.78,6.12,6.12,6.1,5.8667,7.75,4.87,10.51,7.08,8.85,9.03,10.78,5.4,5.13,9.07,7.28,5.9667,7.3833,10.85,6.8,5.05,6.6,6.1,7.82,8.05,6.08,7,6.72,11.0167,6.9,10.9,7.98,8.55,5.2,6.2,7.33,4.88,9.55,5.3,5.62,10.8667,10.05,10.35,7.75,9.45,10.47
LON,-0.75,-0.1667,-0.17,0.63,0.8,-0.8,0.12,-0.6667,-0.98,-2.23,-2.81,-2.03,0.0667,-2.48,-0.85,-2.03,-1.25,-1.82,-2.88,-1.7833,-1.3667,-0.1833,-2.5167,-2.88,0.47,-0.8333,-0.03,-1.72,-0.25,0.2833,-1.6,-0.2667,-2.55,-1.1,-0.88,-0.5167,-1.07,-2.33,-2.33,-1.77,-0.85,-1.98,0,-0.85,-2.5,-0.8,-2.1,-0.12,-0.18
1981,374,388,203,307,-999,492,252,442,309,472,239,590,305,406,143,680,474,262,454,719,559,136,457,971,474,729,215,359,432,285,223,193,458,107,183,200,481,559,583,476,241,594,397,119,280,148,459,290,97
1982,355,304,359,552,-999,356,311,555,213,982,160,412,-999,298,220,602,446,241,-999,553,319,101,648,771,249,484,227,347,410,222,472,-999,569,277,-999,273,631,471,367,584,442,773,393,197,204,93,428,315,250
1983,332,144,-999,232,177,425,132,259,130,552,113,383,-999,234,78,355,122,253,258,411,380,183,129,492,156,-999,316,492,430,268,273,85,313,119,264,355,250,401,405,259,305,-999,128,100,190,169,417,276,84
1984,594,466,264,465,110,618,532,360,549,650,219,354,486,346,169,698,484,365,298,601,448,253,182,368,429,706,348,425,296,606,294,67,-999,294,429,305,259,397,254,372,153,-999,167,210,234,301,615,259,140
1985,370,403,342,383,250,778,261,281,187,664,123,353,420,270,88,472,462,297,323,358,307,122,-999,564,330,441,227,-999,485,212,348,90,-999,67,172,359,606,414,314,285,172,-999,256,71,281,153,424,248,74
1986,424,311,230,216,319,502,427,388,284,290,129,308,-999,273,151,533,225,302,532,519,623,95,-999,310,413,424,335,195,425,340,520,68,-999,160,390,383,246,396,506,165,273,-999,142,120,110,55,262,145,97
1987,299,328,109,109,257,372,284,192,225,327,144,195,-999,183,78,512,246,246,327,420,287,-999,-999,463,523,-999,204,404,326,162,290,64,-999,127,201,203,268,266,311,302,170,-999,194,78,79,84,311,110,78
1988,525,333,372,261,230,503,340,43,305,575,102,495,-999,280,116,560,259,382,471,452,388,192,431,496,511,-999,165,455,286,274,183,146,-999,189,268,315,268,400,388,254,204,447,229,147,190,72,384,181,-999
1989,446,393,282,420,257,221,362,417,535,316,168,375,-999,195,137,452,276,205,491,384,367,128,547,486,482,430,53,290,569,280,575,62,525,85,273,253,406,293,421,287,182,492,253,96,178,46,484,300,99
1990,379,236,207,297,-999,254,307,329,327,425,165,313,-999,293,137,373,259,241,298,377,243,162,416,560,371,310,279,282,376,348,316,117,293,156,167,171,174,286,280,189,176,454,199,148,251,110,202,88,121
1991,596,467,505,548,251,550,560,599,379,518,235,670,-999,649,308,542,606,363,577,562,484,400,614,763,611,676,706,610,312,405,425,356,728,225,431,439,558,452,442,557,493,623,370,277,310,257,652,444,271
1992,321,393,330,266,289,373,365,470,292,377,198,452,392,120,147,484,308,373,334,537,232,234,656,564,231,527,186,363,629,392,518,149,-999,212,305,175,420,418,363,393,148,454,325,196,165,165,469,201,157
1993,279,311,152,308,267,398,243,407,344,410,256,358,149,327,141,567,213,323,-999,460,393,112,499,529,301,529,202,272,400,257,377,93,483,122,295,176,177,393,437,374,109,469,141,94,255,112,395,270,87
1994,412,259,194,344,405,455,410,41,306,456,172,360,-999,190,159,532,281,221,421,636,-999,132,511,560,297,-999,253,256,506,277,410,129,538,161,242,304,443,514,289,295,318,485,197,150,210,327,300,191,106
1995,471,318,333,363,225,450,347,557,340,496,203,475,-999,193,142,474,436,278,478,524,341,105,561,676,391,544,463,372,413,431,456,164,421,92,554,389,541,647,568,378,155,427,398,106,295,191,472,273,71
1996,448,539,391,465,558,632,644,502,476,330,188,270,309,347,202,451,517,391,267,553,626,195,512,497,462,536,345,375,609,272,496,214,466,243,269,283,407,617,344,581,220,626,567,210,194,206,467,201,129
1997,360,567,590,326,408,475,500,451,429,653,197,347,230,254,219,461,492,156,248,517,547,180,483,537,391,563,219,342,467,361,330,139,325,198,371,269,654,565,247,442,436,675,540,136,326,248,398,279,171
1998,483,392,205,303,230,335,357,515,256,487,198,338,-999,167,232,264,163,161,230,499,329,171,363,405,438,314,103,336,385,244,653,117,465,156,169,259,271,346,230,264,179,461,147,193,121,198,366,264,250
1999,494,349,107,314,379,346,244,479,666,429,165,488,-999,317,130,504,348,294,544,542,520,133,486,-999,362,408,153,466,374,294,487,271,494,149,339,176,297,424,455,388,239,615,118,192,191,-999,547,156,155
2000,355,241,214,223,330,233,342,452,520,485,304,282,271,302,192,561,429,276,397,257,351,146,488,436,428,373,236,258,541,164,429,95,460,57,240,248,364,565,410,408,193,454,216,87,162,214,321,221,204
2001,456,413,419,391,355,426,248,493,414,490,140,431,190,234,91,571,540,170,472,487,468,155,496,776,452,428,112,301,211,272,485,78,484,155,352,310,539,475,609,468,209,467,432,125,297,112,386,204,118
2002,484,481,310,314,442,541,282,414,353,543,149,565,245,274,189,519,345,165,562,442,450,123,480,384,346,490,438,430,421,384,490,161,549,170,291,324,383,479,544,380,217,305,262,125,233,176,475,251,187
2003,371,347,311,245,106,370,388,459,308,391,140,541,177,344,95,658,417,269,391,404,371,156,511,609,243,539,193,255,322,223,543,141,435,119,204,235,482,403,405,450,315,574,240,125,295,170,380,227,81
2004,334,318,153,178,374,459,291,377,622,337,236,537,226,440,193,474,289,299,375,403,530,107,459,619,466,393,295,418,329,383,391,157,332,279,413,347,259,150,363,299,235,537,133,233,227,252,391,301,221
2005,387,387,268,350,316,354,256,418,439,503,267,525,252,284,97,583,344,352,405,476,473,-999,369,727,390,493,312,332,284,323,337,123,362,34,329,253,545,502,346,457,290,514,303,55,354,192,457,291,152
2006,514,469,299,288,754,509,413,688,453,373,291,578,180,350,158,542,406,266,463,610,505,-999,643,638,295,659,106,345,369,409,503,144,677,142,408,258,431,553,354,394,201,623,261,165,109,176,400,262,191
2007,365,374,293,-999,410,374,372,442,211,294,271,418,241,254,245,461,258,252,298,517,490,113,306,438,450,391,302,463,588,275,367,141,457,277,376,329,379,389,415,311,167,576,291,203,372,237,361,305,350
2008,536,481,654,292,340,430,400,501,470,575,197,324,233,295,90,727,401,355,424,473,476,-999,354,555,272,435,307,-999,335,544,531,103,365,140,359,171,414,535,387,366,231,906,288,108,233,112,333,337,126
2009,315,295,263,400,311,430,403,441,333,515,121,448,322,261,110,529,427,256,404,477,368,-999,255,566,162,430,291,289,549,287,276,132,-999,120,365,270,258,435,466,329,329,399,176,175,221,122,467,392,104
2010,400,372,158,331,177,623,370,390,416,827,186,127,187,220,169,575,245,257,332,270,413,115,311,761,393,510,199,664,325,418,415,151,518,233,265,401,309,586,460,509,37,603,219,166,332,151,440,256,237
2011,287,251,369,226,423,332,192,343,309,456,257,402,187,241,157,746,304,207,428,456,252,38,489,536,333,410,154,279,372,330,240,105,-999,248,191,188,374,494,214,207,76,684,251,166,200,143,345,291,140
2012,492,315,199,342,255,342,295,288,513,512,238,-999,-999,289,285,372,267,238,162,506,260,-999,424,524,468,453,284,423,335,240,453,202,-999,254,347,322,306,138,461,251,252,485,272,-999,206,183,363,246,210
2013,388,-999,157,351,412,369,220,63,419,476,195,-999,419,441,223,371,-999,191,405,384,483,-999,382,364,404,407,424,681,345,351,482,158,821,239,335,374,327,598,596,265,266,390,192,176,281,282,437,264,251
